,driver,lap,trackStatus,position,grid,performance,trackTemp,airTemp,raining,tyre,tyreLap,track,team,driverPrev,driverNext,teamPrev,teamNext
51,3,1,1,1,1,50,41.9,19.9,0.0,3,3,3,8,3,9,8,8
255,9,1,1,2,2,66,41.9,19.9,0.0,3,3,3,8,3,31,8,4
969,31,1,1,3,3,62,41.9,19.9,0.0,3,3,3,4,9,30,8,10
918,30,1,1,4,4,53,41.9,19.9,0.0,3,3,3,10,31,15,4,4
459,15,1,1,5,5,46,41.9,19.9,0.0,3,3,3,4,30,6,10,10
102,6,1,1,6,6,50,41.8,19.8,0.0,3,3,3,10,15,8,4,6
204,8,1,1,7,7,34,41.8,19.8,0.0,3,3,3,6,6,16,10,6
510,16,1,1,8,8,36,41.9,19.9,0.0,3,3,3,6,8,13,6,13
408,13,1,1,9,9,0,41.8,19.7,0.0,3,3,3,13,16,19,6,7
561,19,1,1,10,10,59,41.8,19.8,0.0,3,0,3,7,13,1,13,13
0,1,1,1,11,11,43,41.9,19.9,0.0,3,0,3,13,19,25,7,7
816,25,1,1,12,12,36,41.9,19.9,0.0,3,0,3,7,1,23,13,11
714,23,1,1,13,13,43,41.9,19.9,0.0,3,3,3,11,25,22,7,0
663,22,1,1,14,14,26,41.9,19.9,0.0,2,0,3,0,23,21,11,9
612,21,1,1,15,15,37,41.9,19.9,0.0,3,0,3,9,22,27,0,9
867,27,1,1,16,16,38,41.8,19.8,0.0,2,0,3,9,21,12,9,14
357,12,1,1,17,17,37,41.9,19.9,0.0,2,0,3,14,27,7,9,0
153,7,1,1,18,18,0,41.9,19.9,0.0,3,0,3,0,12,24,14,14
765,24,1,1,19,19,38,41.9,19.9,0.0,2,0,3,14,7,11,0,11
306,11,1,1,20,20,51,41.9,19.9,0.0,2,0,3,11,24,3,14,8
256,9,2,0,1,2,68,41.8,19.7,0.0,3,4,3,8,9,3,8,8
52,3,2,0,2,1,55,41.8,19.8,0.0,3,4,3,8,9,30,8,10
919,30,2,0,3,4,49,41.8,19.8,0.0,3,4,3,10,3,31,8,4
970,31,2,0,4,3,70,41.8,19.8,0.0,3,4,3,4,30,15,10,4
460,15,2,0,5,5,50,41.8,19.8,0.0,3,4,3,4,31,6,4,10
103,6,2,0,6,6,55,41.8,19.8,0.0,3,4,3,10,15,8,4,6
205,8,2,0,7,7,40,42.0,19.8,0.0,3,4,3,6,6,16,10,6
511,16,2,0,8,8,40,41.8,19.8,0.0,3,4,3,6,8,13,6,13
409,13,2,0,9,9,0,41.8,19.8,0.0,3,4,3,13,16,1,6,13
1,1,2,0,10,11,49,41.8,19.8,0.0,3,1,3,13,13,25,13,7
817,25,2,0,11,12,36,41.8,19.8,0.0,3,1,3,7,1,23,13,11
715,23,2,0,12,13,46,41.8,19.8,0.0,3,4,3,11,25,21,7,9
613,21,2,0,13,15,35,41.8,19.8,0.0,3,1,3,9,23,27,11,9
868,27,2,0,14,16,37,41.8,19.8,0.0,2,1,3,9,21,7,9,0
154,7,2,0,15,18,0,41.8,19.8,0.0,3,1,3,0,27,19,9,7
562,19,2,0,16,10,62,41.8,19.8,0.0,3,1,3,7,7,12,0,14
358,12,2,0,17,17,43,41.8,19.8,0.0,2,1,3,14,19,11,7,11
307,11,2,0,18,20,54,41.8,19.8,0.0,2,1,3,11,12,24,14,14
766,24,2,0,19,19,41,41.8,19.8,0.0,2,1,3,14,11,22,11,0
664,22,2,0,20,14,32,41.8,19.8,0.0,2,1,3,0,24,9,14,8
257,9,3,0,1,2,68,41.8,19.8,0.0,3,5,3,8,9,3,8,8
53,3,3,0,2,1,58,42.0,19.8,0.0,3,5,3,8,9,30,8,10
920,30,3,0,3,4,43,41.8,19.7,0.0,3,5,3,10,3,31,8,4
971,31,3,0,4,3,72,41.8,19.7,0.0,3,5,3,4,30,15,10,4
461,15,3,0,5,5,52,41.8,19.7,0.0,3,5,3,4,31,6,4,10
104,6,3,0,6,6,55,41.8,19.8,0.0,3,5,3,10,15,8,4,6
206,8,3,0,7,7,43,41.8,19.8,0.0,3,5,3,6,6,16,10,6
512,16,3,0,8,8,42,41.8,19.8,0.0,3,5,3,6,8,13,6,13
410,13,3,0,9,9,0,41.8,19.8,0.0,3,5,3,13,16,1,6,13
2,1,3,0,10,11,54,41.8,19.7,0.0,3,2,3,13,13,25,13,7
818,25,3,0,11,12,39,41.8,19.8,0.0,3,2,3,7,1,23,13,11
716,23,3,0,12,13,49,41.8,19.7,0.0,3,5,3,11,25,21,7,9
614,21,3,0,13,15,36,41.8,19.8,0.0,3,2,3,9,23,27,11,9
869,27,3,0,14,16,39,41.8,19.7,0.0,2,2,3,9,21,7,9,0
155,7,3,0,15,18,0,42.0,19.8,0.0,3,2,3,0,27,19,9,7
563,19,3,0,16,10,67,41.3,19.7,0.0,3,2,3,7,7,11,0,11
308,11,3,0,17,20,56,41.8,19.7,0.0,2,2,3,11,19,12,7,14
359,12,3,0,18,17,47,41.8,19.8,0.0,2,2,3,14,11,24,11,14
767,24,3,0,19,19,45,41.8,19.8,0.0,2,2,3,14,12,22,14,0
665,22,3,0,20,14,35,41.8,19.7,0.0,2,2,3,0,24,9,14,8
258,9,4,0,1,2,69,41.8,19.8,0.0,3,6,3,8,9,3,8,8
54,3,4,0,2,1,57,41.8,19.8,0.0,3,6,3,8,9,30,8,10
921,30,4,0,3,4,44,42.0,19.8,0.0,3,6,3,10,3,31,8,4
972,31,4,0,4,3,74,41.8,19.8,0.0,3,6,3,4,30,15,10,4
462,15,4,0,5,5,52,42.0,19.8,0.0,3,6,3,4,31,6,4,10
105,6,4,0,6,6,58,41.8,19.8,0.0,3,6,3,10,15,8,4,6
207,8,4,0,7,7,45,41.8,19.8,0.0,3,6,3,6,6,16,10,6
513,16,4,0,8,8,44,41.8,19.7,0.0,3,6,3,6,8,13,6,13
411,13,4,0,9,9,0,41.8,19.8,0.0,3,6,3,13,16,1,6,13
3,1,4,0,10,11,56,42.0,19.8,0.0,3,3,3,13,13,25,13,7
819,25,4,0,11,12,39,41.8,19.7,0.0,3,3,3,7,1,23,13,11
717,23,4,0,12,13,50,42.0,19.8,0.0,3,6,3,11,25,21,7,9
615,21,4,0,13,15,35,41.8,19.7,0.0,3,3,3,9,23,27,11,9
870,27,4,0,14,16,40,41.8,19.8,0.0,2,3,3,9,21,7,9,0
156,7,4,0,15,18,0,41.8,19.8,0.0,3,3,3,0,27,19,9,7
564,19,4,0,16,10,68,41.4,19.8,0.0,3,3,3,7,7,11,0,11
309,11,4,0,17,20,57,41.8,19.8,0.0,2,3,3,11,19,12,7,14
360,12,4,0,18,17,48,41.8,19.8,0.0,2,3,3,14,11,22,11,0
666,22,4,0,19,14,34,41.8,19.8,0.0,2,3,3,0,12,24,14,14
768,24,4,0,20,19,46,41.8,19.7,0.0,2,3,3,14,22,9,0,8
259,9,5,0,1,2,70,41.8,19.8,0.0,3,7,3,8,9,3,8,8
55,3,5,0,2,1,57,41.3,19.5,0.0,3,7,3,8,9,30,8,10
922,30,5,0,3,4,44,41.3,19.5,0.0,3,7,3,10,3,31,8,4
973,31,5,0,4,3,76,41.8,19.8,0.0,3,7,3,4,30,15,10,4
463,15,5,0,5,5,52,41.8,19.8,0.0,3,7,3,4,31,6,4,10
106,6,5,0,6,6,60,41.3,19.5,0.0,3,7,3,10,15,8,4,6
208,8,5,0,7,7,46,41.6,20.2,0.0,3,7,3,6,6,16,10,6
514,16,5,0,8,8,45,41.8,19.8,0.0,3,7,3,6,8,13,6,13
412,13,5,0,9,9,0,41.3,19.7,0.0,3,7,3,13,16,1,6,13
4,1,5,0,10,11,56,41.8,19.8,0.0,3,4,3,13,13,25,13,7
820,25,5,0,11,12,40,42.0,19.8,0.0,3,4,3,7,1,23,13,11
718,23,5,0,12,13,50,41.8,19.8,0.0,3,7,3,11,25,21,7,9
616,21,5,0,13,15,35,42.0,19.8,0.0,3,4,3,9,23,27,11,9
871,27,5,0,14,16,39,41.3,19.5,0.0,2,4,3,9,21,7,9,0
157,7,5,0,15,18,0,41.8,19.8,0.0,3,4,3,0,27,19,9,7
565,19,5,0,16,10,68,41.2,19.8,0.0,3,4,3,7,7,11,0,11
310,11,5,0,17,20,57,41.8,19.8,0.0,2,4,3,11,19,12,7,14
361,12,5,0,18,17,48,41.3,19.5,0.0,2,4,3,14,11,22,11,0
667,22,5,0,19,14,34,41.8,19.8,0.0,2,4,3,0,12,24,14,14
769,24,5,0,20,19,46,42.0,19.8,0.0,2,4,3,14,22,9,0,8
260,9,6,0,1.3901262283325195,2,70,41.8,19.8,0.0,3,8,3,8,9,3,8,8
56,3,6,0,1.8684533834457397,1,57,41.3,19.5,0.0,3,8,3,8,9,30,8,10
